fish_number,fish_id,treatment,tank_id,sex,body_mass_before,body_mass_after,body_mass,body_length,trial,distance_cm,freezing_s,refuge_duration_s,velocity_cm.s,total_wbc,n.l_ratio
52,52T14H,high,14,female,0.454,0.429,0.429,2.75,Trial 16,1276.78,990.5,16.8,2.07339,53,0.176470588
53,53T13H,high,14,female,0.467,0.451,0.451,3.05,Trial 37,63.7752,942.22,935.2,0.071985,30,0.086956522
54,54T14H,high,14,male,0.802,0.774,0.774,3.5,Trial 37,2322.79,771.02,251.58,1.71035,43,0.162790698
55,55T11C,control,11,male,0.486,0.436,0.436,2.98,Trial 3,1821.4,950.88,386.7,1.86877,36,0.123595506
56,56T11C,control,11,female,1.123,1.062,1.062,3.75,Trial 10,2371.93,737.84,6.86,1.03233,28,0.052631579
57,57T11C,control,11,male,0.619,0.594,0.594,3.22,Trial 23,1191.08,1031.8,32.36,2.40515,38,0.149425287
58,58T11C,control,11,female,1.25,1.125,1.125,3.95,Trial 37,565.382,1151.44,53.78,1.88932,29,0.587301587
59,59T11C,control,11,female,0.533,0.514,0.514,2.95,Trial 30,925.216,1076.8,44.56,0.233943,32,0.098901099
60,60T11C,control,11,female,0.478,0.456,0.456,3.1,Trial 16,1790.96,588.3,363.92,1.01399,29,0.219512195
61,61T24L,low,24,female,0.408,0.392,0.392,2.8,Trial 3,1484.08,937.64,107.52,0.978872,33,0.063829787
62,62T24L,low,24,female,0.724,0.643,0.643,3.35,Trial 37,2795.34,684.5,259.04,1.93448,35,0.298701299
63,63T24L,low,24,male,1.117,1.05,1.05,3.8,Trial 16,2248.92,873.94,433.4,0.666584,38,0.282051282
64,64T24L,low,24,male,0.636,0.59,0.59,3.3,Trial 10,1959.84,845.84,242.96,1.45726,35,0.298701299
65,65T24L,low,24,male,0.677,0.623,0.623,3.35,Trial 23,1745,1043.2,330.06,1.73469,44,0.315789474
66,66T24L,low,24,male,0.867,0.829,0.829,3.7,Trial 30,1413.62,975.16,35.14,0.847133,45,0.612903226
67,67T19H,high,19,female,0.562,0.514,0.514,3.12,Trial 3,153.304,1193.32,612.36,2.10821,38,0.282051282
68,68T19H,high,19,female,0.561,0.513,0.513,2.8,Trial 10,1660.53,877.76,24.04,0.448693,50,0.190476191
69,69T19H,high,19,male,0.523,0.507,0.507,3.12,Trial 30,59.9562,253.1,193.58,0.459396,31,0.075268817
70,70T19H,high,19,female,0.337,0.307,0.307,2.58,Trial 23,1484.97,1040.12,615.7,1.00566,36,0.176470588
71,71T19H,high,19,male,1.236,1.095,1.095,3.92,Trial 23,2374.08,866.88,208.12,0.037097,36,0.149425287
